school_year,Student,SIS User ID,grade_level,course_id,section_id,teacher_id,enrollment_status
2025-2026,Synthetic Student 258,SYN-SIS-000258,10,MATH-AP-PRECALC,SEC-018,TCH-004,active
2025-2026,Synthetic Student 259,SYN-SIS-000259,10,MATH-AP-PRECALC,SEC-017,TCH-004,active
2025-2026,Synthetic Student 260,SYN-SIS-000260,9,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 261,SYN-SIS-000261,9,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 262,SYN-SIS-000262,11,MATH-AP-CALC-AB,SEC-023,TCH-005,active
2025-2026,Synthetic Student 263,SYN-SIS-000263,9,MATH-ALG1,SEC-002,TCH-001,active
2025-2026,Synthetic Student 264,SYN-SIS-000264,11,MATH-PRECALC,SEC-015,TCH-003,active
2025-2026,Synthetic Student 265,SYN-SIS-000265,9,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 266,SYN-SIS-000266,10,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 267,SYN-SIS-000267,10,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 268,SYN-SIS-000268,9,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 269,SYN-SIS-000269,12,MATH-AP-CALC-BC,SEC-025,TCH-005,active
2025-2026,Synthetic Student 270,SYN-SIS-000270,9,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 271,SYN-SIS-000271,9,MATH-ALG2-H,SEC-012,TCH-003,active
2025-2026,Synthetic Student 272,SYN-SIS-000272,11,MATH-ALG2-H,SEC-014,TCH-003,active
2025-2026,Synthetic Student 273,SYN-SIS-000273,10,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 274,SYN-SIS-000274,9,MATH-ALG2-H,SEC-013,TCH-003,active
2025-2026,Synthetic Student 275,SYN-SIS-000275,11,MATH-ALG2,SEC-010,TCH-002,active
2025-2026,Synthetic Student 276,SYN-SIS-000276,11,MATH-PRECALC,SEC-016,TCH-004,active
2025-2026,Synthetic Student 277,SYN-SIS-000277,12,MATH-AP-CALC-AB,SEC-021,TCH-005,active
2025-2026,Synthetic Student 278,SYN-SIS-000278,10,MATH-GEOM,SEC-006,TCH-002,active
2025-2026,Synthetic Student 279,SYN-SIS-000279,9,MATH-ALG1,SEC-001,TCH-001,active
2025-2026,Synthetic Student 280,SYN-SIS-000280,9,MATH-GEOM,SEC-008,TCH-002,active
2025-2026,Synthetic Student 281,SYN-SIS-000281,9,MATH-ALG2-H,SEC-011,TCH-003,active
2025-2026,Synthetic Student 282,SYN-SIS-000282,11,MATH-AP-PRECALC,SEC-018,TCH-004,active
2025-2026,Synthetic Student 283,SYN-SIS-000283,9,MATH-GEOM,SEC-003,TCH-001,active
2025-2026,Synthetic Student 284,SYN-SIS-000284,12,MATH-AP-PRECALC,SEC-017,TCH-004,active
2025-2026,Synthetic Student 285,SYN-SIS-000285,11,MATH-GEOM,SEC-004,TCH-001,active
2025-2026,Synthetic Student 286,SYN-SIS-000286,11,MATH-GEOM,SEC-005,TCH-001,active
2025-2026,Synthetic Student 287,SYN-SIS-000287,12,MATH-PRECALC,SEC-016,TCH-004,active
